vin_1_10,state,city,county,ev_type,make,model,Sum of model_year
1G1FY6S04K,WA,Seattle,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2019
1G1FY6S05K,WA,Bremerton,Kitsap,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2019
1G1FY6S07K,WA,Everett,Snohomish,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2019
1G1FY6S07P,WA,Seattle,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EUV,2023
1G1FY6S08L,WA,Seattle,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2020
1G1FY6S0XK,WA,Seattle,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2019
1G1FZ6S00K,WA,Bellevue,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2019
1G1FZ6S00M,WA,Vancouver,Clark,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2021
1G1FZ6S01N,WA,Burien,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2022
1G1FZ6S08N,WA,Yelm,Thurston,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2022
1G1FZ6S09L,WA,Olympia,Thurston,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2020
1G1FZ6S09N,WA,Sammamish,King,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2022
1G1FZ6S0XL,WA,Olympia,Thurston,Battery Electric Vehicle (BEV),CHEVROLET,BOLT EV,2020
1G1RA6E47C,WA,Edmonds,Snohomish,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2012
1G1RA6E49D,WA,Oak Harbor,Island,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2013
1G1RA6S54H,WA,Vancouver,Clark,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2017
1G1RA6S57J,WA,Bremerton,Kitsap,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2018
1G1RA6S59H,WA,Port Angeles,Clallam,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2017
1G1RA6S5XJ,WA,Burien,King,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2018
1G1RB6S50J,WA,Shoreline,King,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2018
1G1RB6S52J,WA,Snoqualmie,King,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2018
1G1RB6S5XH,WA,Soap Lake,Grant,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2017
1G1RC6E41C,WA,Seattle,King,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2012
1G1RC6E49B,WA,Olympia,Thurston,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2011
1G1RC6S52K,WA,Redmond,King,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2019
1G1RC6S53J,WA,Shoreline,King,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2018
1G1RC6S55H,WA,Lake Stevens,Snohomish,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2017
1G1RC6S58H,WA,Shoreline,King,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2017
1G1RC6S59G,WA,Ridgefield,Clark,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2016
1G1RD6E41F,WA,Kent,King,Plug-in Hybrid Electric Vehicle (PHEV),CHEVROLET,VOLT,2015
